latitude,longitude
31.33,-111.06
31.33,-111.02
31.33,-110.98
31.33,-110.94
31.33,-110.9
31.33,-110.86
31.33,-110.82
31.33,-110.78
31.33,-110.74
31.33,-110.7
31.33,-110.66
31.33,-110.62
31.33,-110.58
31.33,-110.54
31.33,-110.5
31.33,-110.46
31.33,-110.42
31.33,-110.38
31.33,-110.34
31.33,-110.3
31.33,-110.26
31.33,-110.22
31.33,-110.18
31.33,-110.14
31.33,-110.1
31.33,-110.06
31.33,-110.02
31.33,-109.98
31.33,-109.94
31.33,-109.9
31.33,-109.86
31.33,-109.82
31.33,-109.78
31.33,-109.74
31.33,-109.7
31.33,-109.66
31.33,-109.62
31.33,-109.58
31.33,-109.54
31.33,-109.5
31.33,-109.46
31.33,-109.42
31.33,-109.38
31.33,-109.34
31.33,-109.3
31.33,-109.26
31.33,-109.22
31.33,-109.18
31.33,-109.14
31.33,-109.1
31.33,-109.06
31.37,-111.18
31.37,-111.14
31.37,-111.1
31.37,-111.06
31.37,-111.02
31.37,-110.98
31.37,-110.94
31.37,-110.9
31.37,-110.86
31.37,-110.82
31.37,-110.78
31.37,-110.74
31.37,-110.7
31.37,-110.66
31.37,-110.62
31.37,-110.58
31.37,-110.54
31.37,-110.5
31.37,-110.46
31.37,-110.42
31.37,-110.38
31.37,-110.34
31.37,-110.3
31.37,-110.26
31.37,-110.22
31.37,-110.18
31.37,-110.14
31.37,-110.1
31.37,-110.06
31.37,-110.02
31.37,-109.98
31.37,-109.94
31.37,-109.9
31.37,-109.86
31.37,-109.82
31.37,-109.78
31.37,-109.74
31.37,-109.7
31.37,-109.66
31.37,-109.62
31.37,-109.58
31.37,-109.54
31.37,-109.5
31.37,-109.46
31.37,-109.42
31.37,-109.38
31.37,-109.34
31.37,-109.3
31.37,-109.26
31.37,-109.22
31.37,-109.18
31.37,-109.14
31.37,-109.1
31.37,-109.06
31.41,-111.3
31.41,-111.26
31.41,-111.22
31.41,-111.18
31.41,-111.14
31.41,-111.1
31.41,-111.06
31.41,-111.02
31.41,-110.98
31.41,-110.94
31.41,-110.9
31.41,-110.86
31.41,-110.82
31.41,-110.78
31.41,-110.74
31.41,-110.7
31.41,-110.66
31.41,-110.62
31.41,-110.58
31.41,-110.54
31.41,-110.5
31.41,-110.46
31.41,-110.42
31.41,-110.38
31.41,-110.34
31.41,-110.3
31.41,-110.26
31.41,-110.22
31.41,-110.18
31.41,-110.14
31.41,-110.1
31.41,-110.06
31.41,-110.02
31.41,-109.98
31.41,-109.94
31.41,-109.9
31.41,-109.86
31.41,-109.82
31.41,-109.78
31.41,-109.74
31.41,-109.7
31.41,-109.66
31.41,-109.62
31.41,-109.58
31.41,-109.54
31.41,-109.5
31.41,-109.46
31.41,-109.42
31.41,-109.38
31.41,-109.34
31.41,-109.3
31.41,-109.26
31.41,-109.22
31.41,-109.18
31.41,-109.14
31.41,-109.1
31.41,-109.06
31.45,-111.42
31.45,-111.38
31.45,-111.34
31.45,-111.3
31.45,-111.26
31.45,-111.22
31.45,-111.18
31.45,-111.14
31.45,-111.1
31.45,-111.06
31.45,-111.02
31.45,-110.98
31.45,-110.94
